ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,rmouillot,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls,randraldi,rwyatt,rhonorio,rclark,rharvey,rilarri,rmendes,rparrish,rpastro,rrodriguez,ralvarez,rbertoncini,rjohnson,rkattan,rleal,rpaula,rpereira,rramos,rrosa,rwilliams,runsworth,rsiquiera
3219,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Pomadasys,incisus,Pomadasys_incisus,Pomadasys incisus,I,NA,I,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3220,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Pomadasys,rogerii,Pomadasys_rogerii,Pomadasys rogerii,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3221,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Plectorhinchus,lessonii,Plectorhinchus_lessonii,Plectorhinchus lessonii,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3222,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Pontinus,accraensis,Pontinus_accraensis,Pontinus accraensis,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3223,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Serranus,aequidens,Serranus_aequidens,Serranus aequidens,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3224,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Serranus,huascarii,Serranus_huascarii,Serranus huascarii,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3225,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,jubauna,Chromis_jubauna,Chromis jubauna,PK,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
3226,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Sargocentron,hormion,Sargocentron_hormion,Sargocentron hormion,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3227,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Sargocentron,iota,Sargocentron_iota,Sargocentron iota,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3228,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Sargocentron,megalops,Sargocentron_megalops,Sargocentron megalops,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
