ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
2527,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Ctenogobius,smaragdus,Ctenogobius smaragdus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2528,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Oxyurichthys,stigmalophius,Oxyurichthys stigmalophius,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA
2529,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Ctenogobius,stigmaticus,Ctenogobius stigmaticus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2530,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selar,crumenophthalmus,Selar crumenophthalmus,PK,NA,Planktivore,NA,NA,DPLA,Nocturnal planktivore,NA,NA,NA,#REF!,PK,NA,PK,NA,PK,PK,NA,P
2531,Actinopterygii (ray-finned fishes),Cypriniformes,Cyprinidae,Gobiosoma,grosvenori,Gobiosoma grosvenori,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
2532,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Elacatinus,horsti,Elacatinus horsti,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
2533,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Elacatinus,macrodon,Elacatinus macrodon,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
2534,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Elacatinus,oceanops,Elacatinus oceanops,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
2535,Actinopterygii (ray-finned fishes),Cypriniformes,Cyprinidae,Gobiosoma,robustum,Gobiosoma robustum,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
2536,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Elacatinus,xanthiprora,Elacatinus xanthiprora,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
2537,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Gobulus,myersi,Gobulus myersi,OM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,O,NA,NA,NA,I,NA,NA,NA
2538,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selaroides,leptolepis,Selaroides leptolepis,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,PK
2539,Actinopterygii (ray-finned fishes),Perciformes,Ptereleotridae,Ptereleotris,calliura,Ptereleotris calliura,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
